word,definition
abbreviation,a short form of a word or phrase
abstraction,a general idea not tied to specific examples
accumulation,the process of gathering things together over time
acquisition,the process of getting or obtaining something
administration,the act of managing or running something
ambiguous,having more than one possible meaning
amplification,the process of making something larger or stronger
anticipation,expecting something to happen in the future
approximation,a value or answer that is close but not exact
articulation,the clear expression of ideas in words
assumption,something believed to be true without proof
attribution,giving credit to a source or cause
authorization,official permission to do something
calculation,working out an answer using math
catastrophe,a sudden terrible disaster or event
circumstances,the conditions that affect a situation
collaboration,working together with others on a task
commemoration,an event to honor and remember something
communication,sharing information between people
compensation,payment given in exchange for work or loss
complication,something that makes a situation more difficult
comprehension,understanding of something
concentration,focusing attention on one thing
confirmation,proof that something is true or correct
confrontation,a direct disagreement or conflict between people
congratulation,expressing praise for someone's achievement
conservation,protecting natural resources from being wasted
consideration,careful thought about something before deciding
consolidation,combining things together to make them stronger
constitution,the basic laws and principles of a country
contamination,the process of making something impure or harmful
contradiction,a statement that goes against another statement
contribution,something given to help a cause or project
controversial,causing strong disagreement among people
cooperation,working together toward a common goal
coordination,organizing different parts to work together
corporation,a large company or group of businesses
counterproductive,having the opposite of the desired effect
demonstration,a public show of how something works
determination,the quality of continuing despite obstacles
differentiation,the process of showing how things are different
disadvantage,something that makes a situation harder
discrimination,treating people unfairly based on a characteristic
disorganized,lacking proper structure or order
distribution,the process of giving things out to many people
documentation,written records that provide proof or information
establishment,an organization or the act of setting something up
exaggeration,making something sound bigger than it really is
examination,a careful study or a formal test
explanation,making something clear and easy to understand
extraordinary,very unusual or remarkable
facilitation,the process of making something easier
familiarization,the process of becoming familiar with something
generalization,a broad statement that applies to many cases
hallucination,seeing or hearing something that is not really there
humanitarian,concerned with helping people and reducing suffering
identification,the process of recognizing who or what something is
illustration,a picture or example that explains something
implementation,the process of putting a plan into action
incomprehensible,impossible to understand
inconsistency,when something does not match or agree with itself
indeterminate,not clearly defined or known
infrastructure,the basic systems needed for a society to function
interpretation,explaining the meaning of something
investigation,a careful search to find out the truth
justification,a reason or explanation for doing something
liberation,the act of setting someone or something free
magnification,making something look larger than it is
manipulation,controlling someone or something in a clever way
memorization,learning something so you can remember it perfectly
misinterpretation,understanding something incorrectly
modification,a small change made to something
multiplication,the math operation of adding a number to itself many times
negotiation,a discussion to reach an agreement
observation,watching something carefully to learn about it
organization,the way things are arranged or grouped
participation,taking part in an activity or event
perpendicular,at a right angle to something
perseverance,continuing to try despite difficulties
phenomenon,an unusual or remarkable event or fact
population,all the people living in a particular area
precipitation,water that falls from clouds as rain or snow
predominant,being the most common or important
presentation,showing or explaining something to an audience
procrastination,delaying doing something that needs to be done
pronunciation,the way a word is spoken aloud
qualification,a skill or achievement that makes you suitable for something
rationalization,making excuses to justify behavior
recommendation,a suggestion about what someone should do
reconciliation,restoring friendly relations after a conflict
representation,something that stands for or describes something else
responsibility,having a duty to take care of something
satisfaction,a feeling of pleasure when something goes well
simplification,the process of making something easier to understand
sophistication,having a complex and refined understanding
specification,a detailed description of requirements
standardization,making things follow the same set of rules
substitution,replacing one thing with another
summarization,giving a brief account of the main points
telecommunication,communication over long distances using technology
transformation,a complete change in form or appearance
transportation,moving people or goods from one place to another
understanding,knowing what something means or how it works
visualization,forming a mental picture of something
